root_id,cell_type,side,nt
181513,PFNp_a,right,acetylcholine
181891,PFNp_b,left,acetylcholine
181953,PFNp_a,right,acetylcholine
182269,PFNm_b,left,acetylcholine
182773,PFNp_b,right,acetylcholine
182824,PFNp_b,left,acetylcholine
183054,PFNp_b,left,acetylcholine
183446,PFNp_d,left,acetylcholine
183471,PFNp_d,left,acetylcholine
183634,PFNp_b,right,acetylcholine
183813,PFNp_d,right,acetylcholine
183874,PFNp_b,left,acetylcholine
184227,PFNp_b,left,acetylcholine
184274,PFNp_b,left,acetylcholine
184745,PFNp_a,left,acetylcholine
184914,PFNp_a,left,acetylcholine
185098,PFNp_a,left,acetylcholine
185203,PFNp_b,right,acetylcholine
185216,PFNp_d,right,acetylcholine
185332,PFNp_b,left,acetylcholine
185447,PFNp_b,right,acetylcholine
185635,PFNp_b,left,acetylcholine
185934,PFNp_b,right,acetylcholine
186014,PFNp_b,left,acetylcholine
186070,PFNp_b,right,acetylcholine
186163,PFNp_b,left,acetylcholine
186295,PFNp_a,left,acetylcholine
186592,PFNp_a,right,acetylcholine
186813,PFNp_a,right,acetylcholine
187052,PFNp_b,left,acetylcholine
187211,PFNp_b,right,acetylcholine
188526,PFNp_d,left,acetylcholine
188720,PFNp_a,left,acetylcholine
189054,PFNp_b,right,acetylcholine
189055,PFNp_d,right,acetylcholine
189634,PFNp_b,left,acetylcholine
189905,PFNp_b,left,acetylcholine
189926,PFNp_b,right,acetylcholine
189949,PFNp_a,left,acetylcholine
190073,PFNp_b,right,acetylcholine
190098,PFNp_b,right,acetylcholine
190400,PFNp_b,right,acetylcholine
190935,PFNp_a,left,acetylcholine
191259,PFNp_d,left,acetylcholine
191479,PFNp_a,right,acetylcholine
191537,PFNp_b,right,acetylcholine
191542,PFNp_b,right,acetylcholine
191647,PFNp_b,left,acetylcholine
191658,PFNp_d,left,acetylcholine
191842,PFNp_d,left,acetylcholine
192268,PFNp_a,left,acetylcholine
192382,PFNp_b,left,acetylcholine
193682,PFNp_d,right,acetylcholine
193713,PFNp_b,left,acetylcholine
193965,PFNp_a,left,acetylcholine
194333,PFNp_b,right,acetylcholine
194350,PFNp_b,right,acetylcholine
194491,PFNm_a,left,acetylcholine
194511,PFNp_b,left,acetylcholine
194601,PFNp_b,left,acetylcholine
194604,PFNp_b,left,acetylcholine
194795,PFNp_b,right,acetylcholine
195138,PFNp_d,right,acetylcholine
195150,PFNp_e,left,acetylcholine
195151,PFNp_b,left,acetylcholine
195467,PFNp_b,left,acetylcholine
195587,PFNp_d,right,acetylcholine
195664,PFNp_a,right,acetylcholine
196104,PFNp_b,left,acetylcholine
196296,PFNp_b,left,acetylcholine
196397,PFNp_a,right,acetylcholine
196662,PFNp_b,right,acetylcholine
197172,PFNp_b,left,acetylcholine
197321,PFNp_b,left,acetylcholine
198031,PFNp_d,right,acetylcholine
198844,PFNp_b,left,acetylcholine
199798,PFNp_c,left,acetylcholine
200208,PFNp_b,left,acetylcholine
200345,PFNp_d,left,acetylcholine
200627,PFNp_a,left,acetylcholine
201797,PFNp_d,left,acetylcholine
202238,PFNp_d,right,acetylcholine
202506,PFNp_a,right,acetylcholine
203142,PFNp_b,right,acetylcholine
204540,PFNp_b,left,acetylcholine
210166,PFNp_d,right,acetylcholine
